run_id,agent,env,trial,state,sharpe,mean_pnl,std_pnl,n_train_steps,n_eval_episodes,p_learning_rate,p_n_steps,p_batch_size,p_n_epochs,p_gamma,p_ent_coef,p_clip_range,p_gae_lambda
tuned_v1,PPOAgent,ABMJumpRegimeEnv,7,COMPLETE,0.188466,2.2046,11.6977,30000,5,5.59598687800608e-05,1024,512,9,0.9633403756510424,0.04115113049561091,0.3,0.9078684483831302
tuned_v1,PPOAgent,ABMJumpRegimeEnv,8,COMPLETE,-0.183648,-2.0918,11.3903,30000,5,0.0026443593078398627,512,512,2,0.9510747302577566,0.0017874463256238437,0.3,0.9885819407825038
tuned_v1,PPOAgent,ABMJumpRegimeEnv,9,COMPLETE,0.072961,0.8817,12.0852,30000,5,9.324140221663491e-05,1024,64,4,0.9284840494377468,0.0001290211302456716,0.1,0.8557292928473224
tuned_v1,PPOAgent,ABMJumpRegimeEnv,10,COMPLETE,0.66818,13.512,20.2221,30000,5,1.1724749366161202e-05,1024,256,5,0.9885656333477799,0.00931698780259505,0.2,0.8021759418019525
tuned_v1,PPOAgent,ABMJumpRegimeEnv,11,COMPLETE,-0.306173,-5.9965,19.5855,30000,5,0.000304742414561939,1024,128,4,0.9952707765590088,0.012826551247600052,0.3,0.9429675522167993
tuned_v1,PPOAgent,ABMJumpRegimeEnv,12,COMPLETE,1.042788,19.0033,18.2235,30000,5,3.0210752570094967e-05,1024,256,6,0.9791469332249952,0.01171142666747359,0.3,0.9441287021446587
tuned_v1,PPOAgent,ABMJumpRegimeEnv,13,COMPLETE,-0.409968,-6.3479,15.4838,30000,5,3.4736014922716655e-05,1024,256,6,0.9846996123388665,0.0043747723659366185,0.3,0.942426049050239
tuned_v1,PPOAgent,ABMJumpRegimeEnv,14,COMPLETE,0.244534,7.6737,31.3808,30000,5,1.1930220880472078e-05,1024,256,6,0.9729834829531702,0.0057670855245209795,0.3,0.9061655676854867
tuned_v1,PPOAgent,ABMJumpRegimeEnv,15,COMPLETE,-0.468565,-8.5623,18.2734,30000,5,3.776414319785236e-05,2048,256,4,0.9320850178619817,0.08925948629133679,0.2,0.8006579761395499
tuned_v1,PPOAgent,ABMJumpRegimeEnv,16,COMPLETE,0.16282,3.248,19.9484,30000,5,0.006496560363487978,1024,128,7,0.9015510381994227,0.024282568745488443,0.3,0.9655574518915081
tuned_v1,PPOAgent,ABMJumpRegimeEnv,17,COMPLETE,0.205611,1.0611,5.1607,30000,5,0.00031321870507516805,1024,128,5,0.9475543668756997,0.0019267303849029025,0.3,0.8851162105631656
tuned_v1,PPOAgent,ABMJumpRegimeEnv,18,COMPLETE,0.17888,4.4128,24.6691,30000,5,2.02311581376798e-05,2048,256,7,0.9795877443601982,0.0005595399159105622,0.1,0.825267036236122
tuned_v1,PPOAgent,ABMJumpRegimeEnv,19,COMPLETE,-0.363557,-3.9214,10.7861,30000,5,7.127108553388698e-05,512,128,5,0.9181290751391672,0.009292477180303219,0.2,0.9250411213403806
tuned_v1,PPOAgent,ABMJumpRegimeEnv,20,COMPLETE,-0.419585,-3.8668,9.2158,30000,5,0.00015771897463062628,1024,256,3,0.9572396727634412,0.026342846288789353,0.3,0.9624432052865858
tuned_v1,PPOAgent,ABMJumpRegimeEnv,21,COMPLETE,0.580107,4.262,7.3469,30000,5,0.0002296051406278658,1024,512,6,0.9996225384405245,0.01752836360550321,0.3,0.9332506087552483
tuned_v1,PPOAgent,ABMJumpRegimeEnv,22,COMPLETE,0.660845,7.8795,11.9234,30000,5,4.2712664935785754e-05,1024,512,3,0.9731916942782881,0.0427634080453604,0.3,0.960044883301033
tuned_v1,PPOAgent,ABMJumpRegimeEnv,23,COMPLETE,0.688847,24.6832,35.8326,30000,5,0.00010520494705651514,1024,512,8,0.9923718519904565,0.008024535998330185,0.3,0.9220250142787982
tuned_v1,PPOAgent,ABMJumpRegimeEnv,24,COMPLETE,-0.635526,-4.9699,7.8202,30000,5,2.1602660656023893e-05,1024,128,3,0.981341745755899,0.022435564579779858,0.3,0.8721582002742888
tuned_v1,PPOAgent,ABMJumpRegimeEnv,25,COMPLETE,0.689241,11.4698,16.6412,30000,5,0.0005509162395451024,1024,512,5,0.9444836988832486,0.003828561090342738,0.3,0.9998826988175371
tuned_v1,PPOAgent,ABMJumpRegimeEnv,26,COMPLETE,-0.600688,-16.3,27.1356,30000,5,5.969770552257078e-05,1024,256,8,0.9646435475498188,0.09366610212864732,0.3,0.9487137620067655
tuned_v1,PPOAgent,ABMJumpRegimeEnv,27,COMPLETE,-0.360386,-11.4013,31.6364,30000,5,0.00018966192313296017,1024,64,6,0.9994894220383189,0.013502983600172578,0.3,0.9084595189126561
tuned_v1,PPOAgent,ABMJumpRegimeEnv,28,COMPLETE,0.439178,7.5105,17.1014,30000,5,2.847514316064532e-05,512,128,4,0.9896165161576537,0.03967837777277105,0.1,0.9736197386061299
tuned_v1,PPOAgent,ABMJumpRegimeEnv,29,COMPLETE,0.075938,0.9327,12.2824,30000,5,0.00011838081013088741,2048,512,7,0.9392499018845394,0.007424504160598239,0.2,0.8157064513572894
tuned_v1,PPOAgent,GBMVanillaEnv,0,COMPLETE,-0.095177,-2.0272,21.2997,30000,5,0.0001329291894316216,512,512,7,0.9708072577796045,0.00011527987128232407,0.1,0.8363649934414201
tuned_v1,PPOAgent,GBMVanillaEnv,1,COMPLETE,0.177286,4.2269,23.8423,30000,5,3.5498788321965036e-05,1024,128,5,0.9456069984217036,0.02267398652378041,0.3,0.8092900825439996
tuned_v1,PPOAgent,GBMVanillaEnv,2,COMPLETE,0.300728,4.3342,14.4123,30000,5,0.0006647135865318024,2048,64,8,0.9440152493739602,0.00023233503515390126,0.3,0.8517559963200034
tuned_v1,PPOAgent,GBMVanillaEnv,3,COMPLETE,0.621903,6.0429,9.7168,30000,5,0.0009717775305059633,2048,128,10,0.9597899978811085,0.058293845429947415,0.2,0.8650660661526529
tuned_v1,PPOAgent,GBMVanillaEnv,4,COMPLETE,-1.07112,-8.1896,7.6458,30000,5,0.00014656553886225324,1024,512,2,0.9986886936600518,0.020736445177905034,0.3,0.9413714687695235
tuned_v1,PPOAgent,GBMVanillaEnv,5,COMPLETE,0.460367,3.367,7.3137,30000,5,0.0015382308040279,512,128,2,0.9310982321715663,0.0009452571391072313,0.3,0.8944429850323898
